Dates,SPX_MOV_AVG_200D,SPX_RSI_14D,SPX_MOV_AVG_50D,SPX_PX_LAST,SPX_PX_OPEN,SPX_PX_HIGH,SPX_PX_LOW,SPX_PX_VOLUME,SPX_VOLATILITY_30D,SPX_BETA_ADJ_OVERRIDABLE,SPX_PX_HIGH_LOW_DIFFERENCE,CONCCONF_PX_LAST,NAPMPMI_PX_LAST,SPXINDEX_PE_RATIO,SPXINDEX_PX_TO_BOOK_RATIO,SPXINDEX_PX_TO_SALES_RATIO,SPXINDEX_EARN_YLD,USGG10YR_PX_LAST,VIX_PX_LAST
2013-10-31,1622.38,61.89,1696.36,1756.54,1763.24,1768.53,1755.72,636000000.0,11.82,1.04,12.81,72.4,54.6,15.9961,2.5857,1.5661,6.2515,2.5542,13.75
2013-11-01,1623.78,63.42,1698.45,1761.64,1758.7,1765.67,1752.7,550000000.0,11.7,1.04,12.97,72.4,54.6,16.0425,2.5932,1.5706,6.2334,2.6218,13.28
2013-11-04,1625.19,65.26,1700.54,1767.93,1763.4,1768.78,1761.56,432000000.0,11.66,1.03,7.22,72.4,54.6,16.0998,2.6024,1.5762,6.2112,2.6035,12.93
2013-11-05,1626.54,62.58,1702.66,1762.97,1765.67,1767.03,1755.76,487000000.0,11.66,1.04,11.27,72.4,54.6,16.0547,2.5951,1.5718,6.2287,2.6696,13.27
2013-11-06,1627.92,64.93,1705.46,1770.49,1765.0,1773.74,1764.4,500000000.0,11.68,1.03,9.34,72.4,54.6,16.1231,2.6062,1.5785,6.2023,2.6421,12.67
2013-11-07,1629.18,53.66,1707.71,1747.15,1770.74,1774.54,1746.2,602000000.0,12.38,1.04,28.34,72.4,54.6,15.9106,2.5718,1.5577,6.2851,2.5999,13.91
2013-11-08,1630.52,60.99,1710.36,1770.61,1748.37,1770.78,1747.63,576000000.0,12.7,1.04,23.15,72.4,54.6,16.1242,2.6064,1.5786,6.2018,2.7477,12.9
2013-11-11,1631.88,61.35,1713.14,1771.89,1769.96,1773.44,1767.85,389000000.0,12.55,1.03,5.59,72.4,54.6,16.1359,2.6083,1.5798,6.1974,2.7477,12.53
2013-11-12,1633.18,59.42,1715.69,1767.69,1769.51,1771.78,1762.29,457000000.0,12.59,1.03,9.49,72.4,54.6,16.0976,2.6021,1.576,6.2121,2.7728,12.82
2013-11-13,1634.58,63.62,1718.27,1782.0,1764.37,1782.0,1760.64,528000000.0,12.31,1.03,21.36,72.4,54.6,16.228,2.6231,1.5888,6.1622,2.6996,12.52
2013-11-14,1636.04,65.92,1720.98,1790.62,1782.75,1791.53,1780.22,526000000.0,12.24,1.03,11.31,72.4,54.6,16.3065,2.6358,1.5965,6.1325,2.69,12.37
2013-11-15,1637.46,67.83,1723.84,1798.18,1790.66,1798.22,1790.66,668000000.0,11.81,1.03,7.56,72.4,54.6,16.3753,2.647,1.6032,6.1068,2.7033,12.19
2013-11-18,1638.94,64.4,1726.24,1791.53,1798.82,1802.33,1788.0,497000000.0,11.06,1.03,14.33,72.4,54.6,15.8357,2.5848,1.5751,6.3148,2.6658,13.1
2013-11-19,1640.33,62.53,1728.32,1787.87,1790.79,1795.51,1784.72,471000000.0,11.14,1.03,10.79,72.4,54.6,15.802,2.5805,1.5719,6.3283,2.7069,13.39
2013-11-20,1641.67,59.24,1730.16,1781.37,1789.59,1795.73,1777.23,486000000.0,9.6,1.03,18.5,72.4,54.6,15.7442,2.5706,1.5657,6.3515,2.7987,13.4
2013-11-21,1643.11,63.81,1732.41,1795.85,1783.52,1797.16,1783.52,501000000.0,9.7,1.03,13.64,72.4,54.6,15.8774,2.5929,1.5784,6.2983,2.7842,12.66
2013-11-22,1644.54,66.32,1734.75,1804.76,1797.21,1804.84,1794.7,450000000.0,9.72,1.04,10.14,72.4,54.6,15.9566,2.6058,1.5862,6.267,2.7427,12.26
2013-11-25,1645.97,65.07,1736.84,1802.48,1806.33,1808.1,1800.58,483000000.0,9.37,1.03,7.52,72.4,54.6,15.9365,2.6025,1.5842,6.2749,2.7283,12.79
2013-11-26,1647.38,65.16,1738.8,1802.75,1802.87,1808.42,1800.77,567000000.0,8.66,1.03,7.65,72.4,54.6,15.9556,2.6021,1.5843,6.2674,2.7077,12.81
2013-11-27,1648.82,66.58,1740.44,1807.23,1803.48,1808.27,1802.77,380000000.0,8.52,1.03,5.5,72.4,54.6,15.9952,2.6085,1.5882,6.2519,2.7373,12.98
