Dates,PX_LAST
10/1/2013,2.65
10/2/2013,2.6173
10/3/2013,2.6046
10/4/2013,2.6447
10/7/2013,2.6265
10/8/2013,2.632
10/9/2013,2.6631
10/10/2013,2.6814
10/11/2013,2.6871
10/14/2013,2.6871
10/15/2013,2.7276
10/16/2013,2.6633
10/17/2013,2.5894
10/18/2013,2.5777
10/21/2013,2.6014
10/22/2013,2.5124
10/23/2013,2.5016
10/24/2013,2.5197
10/25/2013,2.5088
10/28/2013,2.5233
10/29/2013,2.5034
10/30/2013,2.5378
10/31/2013,2.5542
11/1/2013,2.6218
11/4/2013,2.6035
11/5/2013,2.6696
11/6/2013,2.6421
11/7/2013,2.5999
11/8/2013,2.7477
11/11/2013,2.7477
11/12/2013,2.7728
11/13/2013,2.6996
11/14/2013,2.69
11/15/2013,2.7033
11/18/2013,2.6658
11/19/2013,2.7069
11/20/2013,2.7987
11/21/2013,2.7842
11/22/2013,2.7427
11/25/2013,2.7283
11/26/2013,2.7077
11/27/2013,2.7373
11/28/2013,2.7373
11/29/2013,2.7445
12/2/2013,2.7951
12/3/2013,2.7825
12/4/2013,2.8342
12/5/2013,2.8717
12/6/2013,2.8553
12/9/2013,2.8389
12/10/2013,2.8006
12/11/2013,2.8535
12/12/2013,2.8773
12/13/2013,2.8646
12/16/2013,2.8784
12/17/2013,2.8354
12/18/2013,2.8931
12/19/2013,2.9291
12/20/2013,2.8886
12/23/2013,2.9274
12/24/2013,2.9775
12/25/2013,2.9775
12/26/2013,2.9905
12/27/2013,3
12/30/2013,2.9703
12/31/2013,3.0282
1/1/2014,3.0282
1/2/2014,2.989
1/3/2014,2.9948
1/6/2014,2.9576
1/7/2014,2.9391
1/8/2014,2.9894
1/9/2014,2.9652
1/10/2014,2.8579
1/13/2014,2.8257
1/14/2014,2.8709
1/15/2014,2.8912
1/16/2014,2.8414
1/17/2014,2.8194
1/20/2014,2.8194
1/21/2014,2.8286
1/22/2014,2.8656
1/23/2014,2.7772
1/24/2014,2.715
1/27/2014,2.7479
1/28/2014,2.7488
1/29/2014,2.6767
1/30/2014,2.6949
1/31/2014,2.644
2/3/2014,2.5761
2/4/2014,2.6294
2/5/2014,2.6675
2/6/2014,2.7003
2/7/2014,2.6829
2/10/2014,2.6674
2/11/2014,2.725
2/12/2014,2.7608
2/13/2014,2.732
2/14/2014,2.7428
2/17/2014,2.7428
2/18/2014,2.7069
2/19/2014,2.7392
2/20/2014,2.7509
2/21/2014,2.731
2/24/2014,2.7382
2/25/2014,2.7023
2/26/2014,2.6655
2/27/2014,2.6387
2/28/2014,2.6476
3/3/2014,2.6012
3/4/2014,2.6977
3/5/2014,2.7048
3/6/2014,2.7373
3/7/2014,2.7879
3/10/2014,2.777
3/11/2014,2.768
3/12/2014,2.73
3/13/2014,2.6446
3/14/2014,2.6543
3/17/2014,2.6921
3/18/2014,2.6722
3/19/2014,2.7725
3/20/2014,2.7716
3/21/2014,2.7426
3/24/2014,2.7281
3/25/2014,2.748
3/26/2014,2.6919
3/27/2014,2.681
3/28/2014,2.7208
3/31/2014,2.718
4/1/2014,2.7525
4/2/2014,2.8045
4/3/2014,2.7972
4/4/2014,2.7207
4/7/2014,2.6998
4/8/2014,2.6808
4/9/2014,2.6898
4/10/2014,2.6474
4/11/2014,2.6247
4/14/2014,2.6472
4/15/2014,2.6283
4/16/2014,2.6282
4/17/2014,2.7215
4/18/2014,2.7215
4/21/2014,2.7151
4/22/2014,2.7105
4/23/2014,2.6987
4/24/2014,2.6805
4/25/2014,2.6623
4/28/2014,2.7005
4/29/2014,2.6913
4/30/2014,2.6459
5/1/2014,2.6133
5/2/2014,2.5843
5/5/2014,2.6068
5/6/2014,2.5914
5/7/2014,2.5878
5/8/2014,2.6161
5/9/2014,2.6233
5/12/2014,2.6611
5/13/2014,2.6089
5/14/2014,2.5427
5/15/2014,2.4893
5/16/2014,2.5231
5/19/2014,2.5445
5/20/2014,2.5106
5/21/2014,2.532
5/22/2014,2.5499
5/23/2014,2.5321
5/26/2014,2.5321
5/27/2014,2.5142
5/28/2014,2.4431
5/29/2014,2.4644
5/30/2014,2.4759
6/2/2014,2.5267
6/3/2014,2.5985
6/4/2014,2.6021
6/5/2014,2.5824
6/6/2014,2.5869
6/9/2014,2.6032
6/10/2014,2.6439
6/11/2014,2.6394
6/12/2014,2.5951
6/13/2014,2.6033
6/16/2014,2.597
6/17/2014,2.6523
6/18/2014,2.5844
6/19/2014,2.6206
6/20/2014,2.6052
6/23/2014,2.6261
6/24/2014,2.5781
6/25/2014,2.5592
6/26/2014,2.5286
6/27/2014,2.534
6/30/2014,2.5304
7/1/2014,2.5647
7/2/2014,2.6264
7/3/2014,2.6383
7/4/2014,2.6383
7/7/2014,2.611
7/8/2014,2.5557
7/9/2014,2.5503
7/10/2014,2.5359
7/11/2014,2.516
7/14/2014,2.5468
7/15/2014,2.5468
7/16/2014,2.526
7/17/2014,2.4458
7/18/2014,2.4809
7/21/2014,2.4674
7/22/2014,2.4601
7/23/2014,2.4655
7/24/2014,2.5025
7/25/2014,2.4655
7/28/2014,2.4853
7/29/2014,2.4601
7/30/2014,2.5569
7/31/2014,2.5578
8/1/2014,2.4925
8/4/2014,2.4817
8/5/2014,2.4844
8/6/2014,2.4708
8/7/2014,2.4114
8/8/2014,2.4203
8/11/2014,2.4275
8/12/2014,2.4491
8/13/2014,2.4166
8/14/2014,2.4015
8/15/2014,2.3397
8/18/2014,2.3927
8/19/2014,2.3997
8/20/2014,2.4264
8/21/2014,2.4068
8/22/2014,2.4024
8/25/2014,2.382
8/26/2014,2.3962
8/27/2014,2.3573
8/28/2014,2.3361
8/29/2014,2.3431
9/1/2014,2.3431
9/2/2014,2.4211
9/3/2014,2.3962
9/4/2014,2.4497
9/5/2014,2.4587
9/8/2014,2.4712
9/9/2014,2.5036
9/10/2014,2.5414
9/11/2014,2.5496
9/12/2014,2.6105
9/15/2014,2.5887
9/16/2014,2.5924
9/17/2014,2.6198
9/18/2014,2.6144
9/19/2014,2.5745
9/22/2014,2.5636
9/23/2014,2.5275
9/24/2014,2.5637
9/25/2014,2.5022
9/26/2014,2.5276
9/29/2014,2.4771
9/30/2014,2.4888
10/1/2014,2.3856
10/2/2014,2.425
10/3/2014,2.434
10/6/2014,2.4196
10/7/2014,2.3391
10/8/2014,2.3213
10/9/2014,2.3133
10/10/2014,2.2804
10/13/2014,2.2804
10/14/2014,2.1973
